task_id,actv_code_type_id,actv_code_id,proj_id
106263,1735,7493,4680
106263,1736,7499,4680
106263,1737,7509,4680
106264,1734,7490,4680
106264,1735,7493,4680
106264,1736,7499,4680
106264,1737,7509,4680
106265,1734,7490,4680
106265,1735,7493,4680
106265,1736,7499,4680
106265,1737,7509,4680
106266,1734,7490,4680
106266,1735,7493,4680
106266,1736,7514,4680
106266,1737,7510,4680
106267,1734,7490,4680
106267,1735,7493,4680
106267,1736,7499,4680
106267,1737,7510,4680
106268,1734,7490,4680
106268,1735,7493,4680
106268,1736,7499,4680
106268,1737,7510,4680
106269,1734,7490,4680
106269,1735,7493,4680
106269,1736,7499,4680
106269,1737,7510,4680
106270,1734,7490,4680
106270,1735,7493,4680
106270,1736,7499,4680
106270,1737,7510,4680
106271,1734,7490,4680
106271,1735,7493,4680
106271,1736,7499,4680
106271,1737,7510,4680
106272,1734,7490,4680
106272,1735,7493,4680
106272,1736,7514,4680
106272,1737,7511,4680
106273,1734,7490,4680
106273,1735,7493,4680
106273,1736,7499,4680
106273,1737,7511,4680
106274,1734,7490,4680
106274,1735,7493,4680
106274,1736,7499,4680
106274,1737,7511,4680
106275,1734,7490,4680
106275,1735,7493,4680
106275,1736,7499,4680
106275,1737,7511,4680
106276,1734,7490,4680
106276,1735,7493,4680
106276,1736,7502,4680
106276,1737,7511,4680
106277,1734,7490,4680
106277,1735,7493,4680
106277,1736,7502,4680
106277,1737,7511,4680
106278,1734,7490,4680
106278,1735,7493,4680
106278,1736,7498,4680
106278,1737,7511,4680
106279,1734,7490,4680
106279,1735,7493,4680
106279,1736,7499,4680
106279,1737,7512,4680
106280,1734,7490,4680
106280,1735,7493,4680
106280,1736,7499,4680
106280,1737,7513,4680
106281,1734,7490,4680
106281,1735,7493,4680
106281,1736,7499,4680
106281,1737,7513,4680
106282,1734,7490,4680
106282,1735,7493,4680
106282,1736,7499,4680
106282,1737,7513,4680
106283,1734,7490,4680
106283,1735,7494,4680
106283,1736,7499,4680
106283,1737,7506,4680
106284,1734,7490,4680
106284,1735,7494,4680
106284,1736,7499,4680
106284,1737,7506,4680
106285,1734,7490,4680
106285,1735,7494,4680
106285,1736,7499,4680
106285,1737,7507,4680
106286,1734,7490,4680
106286,1735,7494,4680
106286,1736,7499,4680
106286,1737,7507,4680
106287,1734,7490,4680
106287,1735,7494,4680
106287,1736,7499,4680
106287,1737,7507,4680
106288,1734,7490,4680
106288,1735,7494,4680
106288,1736,7499,4680
106288,1737,7507,4680
106289,1734,7490,4680
106289,1735,7494,4680
106289,1736,7499,4680
106289,1737,7507,4680
106290,1734,7490,4680
106290,1735,7494,4680
106290,1736,7499,4680
106290,1737,7507,4680
106291,1734,7490,4680
106291,1735,7494,4680
106291,1736,7499,4680
106291,1737,7508,4680
106292,1734,7490,4680
106292,1735,7494,4680
106292,1736,7499,4680
106292,1737,7508,4680
106293,1734,7490,4680
106293,1735,7494,4680
106293,1736,7499,4680
106293,1737,7508,4680
106294,1734,7490,4680
106294,1735,7494,4680
106294,1736,7499,4680
106294,1737,7508,4680
106295,1734,7490,4680
106295,1735,7494,4680
106295,1736,7499,4680
106295,1737,7508,4680
106296,1734,7490,4680
106296,1735,7494,4680
106296,1736,7499,4680
106296,1737,7508,4680
106297,1734,7490,4680
106297,1735,7494,4680
106297,1736,7499,4680
106297,1737,7509,4680
106298,1734,7490,4680
106298,1735,7494,4680
106298,1736,7499,4680
106298,1737,7509,4680
106299,1734,7490,4680
106299,1735,7494,4680
106299,1736,7499,4680
106299,1737,7509,4680
106300,1734,7490,4680
106300,1735,7494,4680
106300,1736,7499,4680
106300,1737,7509,4680
106301,1734,7490,4680
106301,1735,7494,4680
106301,1736,7499,4680
106301,1737,7509,4680
106302,1734,7490,4680
106302,1735,7494,4680
106302,1736,7499,4680
106302,1737,7509,4680
106303,1734,7490,4680
106303,1735,7494,4680
106303,1736,7499,4680
106303,1737,7510,4680
106304,1734,7490,4680
106304,1735,7494,4680
106304,1736,7499,4680
106304,1737,7510,4680
106305,1734,7490,4680
106305,1735,7494,4680
106305,1736,7499,4680
106305,1737,7510,4680
106306,1734,7490,4680
106306,1735,7494,4680
106306,1736,7499,4680
106306,1737,7510,4680
106307,1734,7490,4680
106307,1735,7494,4680
106307,1736,7499,4680
106307,1737,7510,4680
106308,1734,7490,4680
106308,1735,7494,4680
106308,1736,7499,4680
106308,1737,7510,4680
106309,1734,7490,4680
106309,1735,7494,4680
106309,1736,7499,4680
106309,1737,7511,4680
106310,1734,7490,4680
106310,1735,7494,4680
106310,1736,7499,4680
106310,1737,7511,4680
106311,1734,7490,4680
106311,1735,7494,4680
106311,1736,7499,4680
106311,1737,7511,4680
106312,1734,7490,4680
106312,1735,7494,4680
106312,1736,7499,4680
106312,1737,7512,4680
106313,1734,7490,4680
106313,1735,7494,4680
106313,1736,7499,4680
106313,1737,7512,4680
106314,1734,7490,4680
106314,1735,7494,4680
106314,1736,7499,4680
106314,1737,7512,4680
106315,1734,7490,4680
106315,1735,7494,4680
106315,1736,7499,4680
106315,1737,7512,4680
106316,1734,7490,4680
106316,1735,7494,4680
106316,1736,7499,4680
106316,1737,7513,4680
106317,1734,7490,4680
106317,1735,7494,4680
106317,1736,7499,4680
106317,1737,7513,4680
106318,1734,7490,4680
106318,1735,7495,4680
106318,1736,7500,4680
106318,1737,7506,4680
106319,1734,7490,4680
